Solution Label      	Type	Element             	Flags   	Soln Conc 	Units   	Corr Con  	Units   	Int     	Date    	Time    	NumReps	各次浓度		
blk                 	样品	Y 371.029(ref)      	        	         0	g/mL    	         0	g/mL    	 34.8273	2018/11/20 星期二	10:56:57	      3	0.000187279	0.000222907	0.000455245
M bLk               	样品	Zr 343.823          	uv      	-0.00160808	mg/L    	-0.00160808	mg/L    	 176.397	2018/11/20 星期二	10:59:43	      3	-0.00155113	-0.0014602	-0.00181291
M bLk               	样品	Zr 339.198(ref)     	uv      	-0.00102979	mg/L    	-0.00102979	mg/L    	 48.6107	2018/11/20 星期二	10:59:43	      3	-0.000650603	-0.00191178	-0.000526991
M bLk               	样品	Zr 267.865(ref)     	uv      	-0.00140077	mg/L    	-0.00140077	mg/L    	 56.6193	2018/11/20 星期二	10:59:43	      3	-0.00218978	-0.0014571	-0.000555433
M bLk               	样品	Sr 421.552(ref)     	        	0.00464958	mg/L    	0.00464958	mg/L    	 11051.8	2018/11/20 星期二	10:59:43	      3	0.00550295	0.00439766	0.00404813
M bLk               	样品	Sr 460.733          	        	 0.0032019	mg/L    	 0.0032019	mg/L    	   368.5	2018/11/20 星期二	10:59:43	      3	0.00434864	0.00293266	0.00232439
M bLk               	样品	Sr 338.071(ref)     	uv      	-0.000173381	mg/L    	-0.000173381	mg/L    	 28.6807	2018/11/20 星期二	10:59:43	      3	0.00336655	-0.00141911	-0.00246759
M bLk               	样品	Na 589.592          	unca    	    未校正	mg/L    	    未校正	mg/L    	  257371	2018/11/20 星期二	10:59:43	      3	0.380669	0.38231	0.381612
M bLk               	样品	Na 568.821(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 383.306	2018/11/20 星期二	10:59:43	      3	0.330666	0.279941	0.429658
M bLk               	样品	Na 330.237(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 62.2705	2018/11/20 星期二	10:59:43	      3	0.502802	0.59771	 1.5114
M bLk               	样品	Mo 202.032          	uv      	-0.00690988	mg/L    	-0.00690988	mg/L    	 17.1111	2018/11/20 星期二	10:59:43	      3	-0.00602	-0.00594532	-0.00876432
M bLk               	样品	Mo 204.598(ref)     	uv      	-0.00549113	mg/L    	-0.00549113	mg/L    	 10.7095	2018/11/20 星期二	10:59:43	      3	-0.00323229	-0.0102354	-0.00300564
M bLk               	样品	Mo 281.615(ref)     	uv      	-0.0100627	mg/L    	-0.0100627	mg/L    	  60.502	2018/11/20 星期二	10:59:43	      3	-0.0101214	-0.00928521	-0.0107815
M bLk               	样品	B 249.772           	x       	   4.87451	mg/L    	   4.87451	mg/L    	  124154	2018/11/20 星期二	10:59:43	      3	4.72883	4.95776	4.93695
